name,image,link,age,sex,breed,town,postcode,charity,description,date
Skar,https://ncar.org.uk/wp-content/uploads/2025/08/IMG_1776.jpeg,https://ncar.org.uk/animals/skar/,Age: 5 years,Sex: Female,Breed: Belgium shepherd cross,,CH8 9BD,North Clwyd Animal Rescue,"Age: 5 years

Sex: Female

Breed: Belgium shepherd cross

Skar's Notes:

can live with older children
friendly with dogs
is toilet trained

Skar is a friendly girl, who arrived as a stray very scared and frightened. We have been spending extra time with her and she now shows her playful, cheeky and loving side!

Since she arrived as a stray we have no history on her. She was very shut down the first few days but slowly started coming out of her shell with the staff. She is more comfortable with women and can be quite timid of men, but this is something we are working on. Once she knows you she can get very jumpy and mouthy, due to this she is looking for a adult only home. She does get quite attached to staff here so we think she will have some separation anxiety so she’ll be suited to a home where she wont be left for long periods.

She is very playful and loves a game of ball and chase! She is very smart and already knows some tricks including, ‘sit, wait, fetch, paw, bark, middle’ etc so someone has put in work with her training. She will be best suited to an active home where someone can stimulate her both physcially and mental as she is very smart and eager to learn.

She has met a few dogs while here with us, she is happy to walk with them but mostly ignores them, she’s more interested in her human friends and toys! She does have the potential to live with another dog pending dog mixes here at the rescue, but we are still learning about her. Initally she was quite timid with veterinary treatment but this is improving and we can discuss more with potential adopters.

She does find kennels very stressful and easily gets very overwhelmed here so we hope she finds a home soon as she is lovely girl who isn’t getting enough exercise and stimulation here at the rescue.

COMPLETE THE FORM FOR SKAR",09/15/2025
Jaffa,https://ncar.org.uk/wp-content/uploads/2025/07/IMG_0450.jpeg,https://ncar.org.uk/animals/jaffa/,Age: 3 years old,Sex: Female,Breed: Cane Corso,,CH8 9BD,North Clwyd Animal Rescue,"Age: 3 years old

Sex: Female

Breed: Cane Corso

Jaffa's Notes:

Jaffa is a gorgeous girl who came into our care as a stray via a vets practice, she hasn’t been claimed and is now looking for a new home.
Due to her coming into us as a stray we have limited background information on her but we have been getting to know her and assessing her during her stay with us so far, and will continue her assessments during her stay with us.

Jaffa was understandably quite bewildered and unsettled when she first arrived but she has settled into the routine here at the rescue now and has started to go out for walks with some of our volunteers. She can be timid at times especially at sudden noises but her confidence is starting to grow, she will benefit from going to live with owners that will put time and effort into her ongoing training and socialisation. She can be strong on the lead at times although generally does walk nicely, anyone interested must be physically capable of handling a big dog.

We have started testing Jaffa around other dogs and so far she seems generally uninterested and unsure of them, we will keep assessing her during her stay with us. She may have potential to live with a compatible similar sized male dog as long as introductions went well here at the rescue, but will also thrive in a home as the only pet.
Jaffa is a cheeky, playful girl when playing in our secure paddock and does like to zoom around.
We hope a suitable home comes along soon, she will definitely appeal to large breed/mastiff lovers 🙂

COMPLETE THE FORM FOR JAFFA",09/15/2025
Titan,https://ncar.org.uk/wp-content/uploads/2025/04/IMG_7624-e1745505358185.jpeg,https://ncar.org.uk/animals/titan/,Age: 1 year 3 months,Sex: Male,Breed: Labrador x French Bulldog,,CH8 9BD,North Clwyd Animal Rescue,"Wooof! I'm Titan and I'm looking for a home with people who will spend lots of time with me :)

Age: 1 year 3 months

Sex: Male

Breed: Labrador x French Bulldog

Titan's Notes:

Titan is a young, energetic boy who came to us due to his owners change of circumstances. He did find a home but was returned due to them struggling to manage his behaviour. He is a typical teenage dog currently and does try does push boundaries, he needs owners that will be firm but fair with him and input a steady routine and boundaries to help him settle within the home – we will advise on all of this.

Titan is a sweet, friendly boy who is still young and full of energy. He will be a great adventure buddy where he can go on long walks and have lots of socialisation. He will suit a home where he won’t be left on his own for long periods, and where he can get lots of mental stimulation as well as physical exercise in order to satisfy him.

He enjoys his toys and playing, travels well in the car and very friendly when meeting people out and about. He can be quite strong on lead initially so will benefit from training in this area. In the home he can be possessive over toys so new owners should be aware of this – again, this is something we will advise on and work with him on during his stay with us. He can also be quite mouthy/grabby when over-excited and over-stimulated.

Titan is fine passing dogs on walks, but he has never lived with another dog in the home so he is looking to be the only dog as this is what he is used to. He is also looking for an adult only home.

We hope Titan finds a home soon as he does find kennels quite stressful and he would love a garden to run around and play in. He is still a young boy who needs owners who will be dedicated to putting time and effort into his ongoing training and socialisation.

COMPLETE THE FORM FOR TITAN",09/15/2025
Angel,https://ncar.org.uk/wp-content/uploads/2025/01/IMG_9151-e1738323900609.jpeg,https://ncar.org.uk/animals/angel/,Age: 1 Year 3 Months,Sex: Female,Breed: SBT Cross Malinois,,CH8 9BD,North Clwyd Animal Rescue,"Age: 1 Year 3 Months

Sex: Female

Breed: SBT Cross Malinois

Angel's Notes:

Angel is a sweet girl who was understandably very nervous when she first came to us after being handed in as a stray, unfortunately nobody has come forward to claim her so she is now looking for her forever home.

We did manage to get some more info about her from a member of the public which has given us an insight into her background, unfortunately, her past is a sad one. She did recently find a home but was sadly returned a couple of days later due to the owner struggling to manage her when she got overexcited and started heavily mouthing. This beautiful girl requires plenty of patience and understanding after all she has been through.

She is an extremely loving girl once she gets to know you and loves to give you lots of cuddles! Due to mistreatment when she was younger she can be unsure of new people initially, especially of men but but can be won around quite easily once she knows that you are not going to hurt her. She has sadly had quite a hard life up to now with no stability, and would really benefit from a home with people who will be dedicated to her and her socialisation.

Angel absolutely loves running around playing with toys, especially tennis balls! She is an energetic girl and will require plenty of physical exercise and mental stimulation in order to meet her needs. She would be the perfect running partner/adventure buddy for someone!

We have been introducing her to other dogs and she seems to get on with them really well out and about, she can potentially live with another dog as long as introductions went well here at the rescue. Due to her being a timid girl, she is looking for a home with sensible older teenagers.

We really hope that the right home comes along for her soon as she is struggling with kennel life.

COMPLETE THE FORM FOR ANGEL",09/15/2025
Bentley,https://ncar.org.uk/wp-content/uploads/2025/04/IMG_1844-e1744464183201.jpeg,https://ncar.org.uk/animals/bentley/,Age: 6 years 10 months,Sex: Male,Breed: Springer Spaniel,,CH8 9BD,North Clwyd Animal Rescue,"Woof to you all, I'm Bentley the very energetic Spaniel. Are you as active as me, and if so, maybe we could go on adventures together??

Age: 6 years 10 months

Sex: Male

Breed: Springer Spaniel

Bentley's Notes:

friendly with dogs
has lived with dogs
can't live with children

Bentley is a handsome boy who was originally signed over to us due to his owner not having time for him, we did find him a new home but he was returned to us due to an incident with one of his owners – this was out of character for him and we will explain more to anyone interested in rehoming him. We have had no issues with him since he has been back at the kennels.

Bentley is very much so your typical spaniel, he is high energy and is into everything. Unfortunately in his original home his owners struggled to give him the time that he needs so he hadn’t been walked much. He does have the tendency to shadow chase and will fixate on reflections, but he can be distracted quite easily from them and we are hoping that when he is in a good routine and getting the exercise and mental stimulation that he needs, this will subside.

He will benefit from owners that are used to having active breeds and understand the need to satisfy them mentally as well as physically – he would walk all day if he could! He is strong on the lead so will benefit from further lead training in this area, and will also require some recall training as he can be reluctant to come back when off lead, it is just too much fun exploring!

Bentley has lived with another dog in his original home so does have potential to live with a compatible dog as long as introductions go well here at the rescue. On walks he tends to ignore other dogs, sniffing and exploring his environment is his main focus on walks. He is looking for a calm adult only home with no visiting children either. He will thrive in a home with owners who will input a routine and boundaries from the start.

Anyone interested in rehoming Bentley must be willing to come up to the rescue to visit him a couple of times before taking him home. We hope a suitable home comes along soon for him as he is struggling with kennel life.

COMPLETE THE FORM FOR BENTLEY",09/15/2025
Lulu,https://ncar.org.uk/wp-content/uploads/2025/08/IMG_2405-e1756037917863.jpeg,https://ncar.org.uk/animals/lulu/,Age: 2 years,Sex: Female,Breed: German shepherd x Staffy.,,CH8 9BD,North Clwyd Animal Rescue,"Age: 2 years

Sex: Female

Breed: German shepherd x Staffy.

Lulu's Notes:

friendly with dogs
friendly with strangers
can't live with young children

Lulu is a very sweet, friendly girl who came to us due to no fault of her own. She is now looking for an active where she can go on loads of adventures!

Lulu is friendly girl with people she meets. She is an active dog so will suit a home where she can get lots of exercise and play time. She is still learning to play with toys here at the rescue, she more enjoys playing chase in the paddock! She is a very fun and energetic girl, she will be a great hiking companion.

She can be quite strong on lead so she will benefit from some lead training but she is still young and eager to learn. She is quite curious about dogs and will walk past dogs at the rescue without reacting. She has made some friends but she is very unsure when initating play but she has lots of potential. Her new owners will need to work on her socialsation to show her dogs aren’t as scary as she thinks! While we are still assessing her, she will be looking for a home as the only pet as this is what she’s used to.

She is a lovely, excitable girl that would make a great companion for someone!

COMPLETE THE FORM FOR LULU",09/15/2025
Jim,https://ncar.org.uk/wp-content/uploads/2025/05/4ec12859-c3e1-4c2b-9bb5-74168e3f5877-e1747747532691.jpeg,https://ncar.org.uk/animals/jim/,"Age: 1 year, 11 months.",Sex: Male,Breed: Lurcher,,CH8 9BD,North Clwyd Animal Rescue,"Age: 1 year, 11 months.

Sex: Male

Breed: Lurcher

Jim's Notes:

friendly with dogs
friendly with strangers
good on the lead
isn't toilet trained

Jim came to us originally as a transfer from another rescue. We did rehome him, however he was returned due to the owners not managing with his behaviour.

Jim is a very sweet boy, who started with us very timid and nervous. After settling with us, he became a very affectionate and friendly boy with people and dogs. In the home, he was quite excitable and overly playful, but without management it was leading to some puppy behaviour and mouthing. His next home will need to be focused on training him and putting boundaries in place to prevent this behaviour displaying. This is something that can be managed and our team will help advise anyone interested in him. Due to his behaviour, he is looking for an adult only home.

He was showing signs of seperation anxiety in the home too, but again, boundries will need to be in place to start training Jim from the beginning. However, he will be suited to a home where he won’t be left alone to long. Jim is a lovely boy who will make an amazing companion for someone as he really enjoys walks and being out and about. Jim does have the potential to live with another dog pending dog mixes here at the rescue.

Jim likes his toys and enjoys playing tug of war with you! He clearly hasn’t seen much of the world so needs a bit of training and someone to show him the world isn’t that scary! He will make a great companion to someone and we home he finds his forever home soon.

COMPLETE THE FORM FOR JIM",09/15/2025
Otis,https://ncar.org.uk/wp-content/uploads/2025/03/IMG_6355-e1743247874688.jpeg,https://ncar.org.uk/animals/otis/,Age: 1 year 8 months,Sex: Male,Breed: Czech German Shepherd,,CH8 9BD,North Clwyd Animal Rescue,"Age: 1 year 8 months

Sex: Male

Breed: Czech German Shepherd

Otis's Notes:

Otis is a stunning boy who originally came into us as a stray in August 2024. Nobody came forward for him so he is now looking for his new forever home, due to Otis coming into us as a stray we sadly don’t have any of his background history which would be helpful with a dog like him. During his stay with us so far he did go out on foster for a couple of months to get him out of the kennel environment and this allowed us to learn even more about him and figure out what kind of home he would do best in. We have a in-depth document of notes from his fosterer which gives us lots of detail of his behaviour within the home and out and about which we will share with anyone that is interested in rehoming him.

Otis is a friendly boy but can be aloof until he gets to know you.. then he is more than happy to show you his personality and he does form strong bonds! He likes to be busy and in the kennel environment his main focus is getting out exploring as quick as he can! He is energetic and is looking for a home with people who will really spend the time trying to tire his brain out just as much his body. He loves playing lots of different mind games and would carry a toy absolutely everywhere he goes if he could!

Due to this and his size and strength, he is looking for a home with older teenagers 16+ who are used to being around big boisterous dogs and will get involved in his training.. even better if they will also play with toys with him!

He really enjoys being out and about exploring, he goes out with quite a few of our volunteers and he has developed a lovely bond with them because of it. He is very strong on lead at times but does settle down once he gets going, anyone interested in him must be physically capable of handling him. He is both food and toy motivated which definitely helps with his training, he is very eager to please and loves to learn. Once he is out of this environment and getting all of his needs satisfied we know that he will calm down and improve massively.

Otis is generally uninterested in other dogs and has clearly lacked socialisation – his fosterer found that he would mimic other dogs, if they were calm with him he’d be calm, if they barked he’d bark back etc. He is looking for a home as the only pet where he can have all of the attention to himself but would benefit from continued socialisation in his next home. He would be ideal for people with Shepherd experience but this isn’t essential as long as research has been done and potential owners are dedicated to him and his ongoing training.

We really hope that Otis finds his forever home soon as he needs far more than we can give him within the kennel environment.

COMPLETE THE FORM FOR OTIS",09/15/2025
Jessie,https://ncar.org.uk/wp-content/uploads/2025/05/74180073-accc-485e-9380-6e24f390675e-e1747748881311.jpeg,https://ncar.org.uk/animals/jessie/,Age: 7 years old,Sex: Female,Breed: Labrador x Lurcher,,CH8 9BD,North Clwyd Animal Rescue,"Woof! I’m Jessie and I am a sweet but unsure girl who needs someone to work with me.

Age: 7 years old

Sex: Female

Breed: Labrador x Lurcher

Jessie's Notes:

can live with older children
friendly with strangers
is toilet trained
can’t live with cats
can't live with dogs
can't live with young children

Jessie is a sweet girl who was returned to the rescue as her owners were unable to cope with her behaviour. She has sadly been in and out of our care for a few years now so we’d really love to find her the perfect match soon.

In the home she is described as being perfect, she is fully housetrained, friendly with visitors and loved sunbathing and playing ball in the garden. She is a very cheeky, lovely girl who loves a cuddle and a good run round playing hide and seek! She does love her toys as well, and chasing tennis balls. She will find any bit of sunshine to sunbathe in and likes being wrapped up in her blankets at night.

She can be quite reactive to other dogs on walks and with dogs passing outside. She is gen-con trained so she is easier to manage once you know her traits and with good lead control, she walks beautifully. When she first came to us, she joined off-lead mixes with multiple dogs and was very playful, however an incident in a home caused her to become very nervous and fearful of dogs. It is larger breeds that Jessie is reactive to, so she needs quitter walks where she can have calmer walks to do plenty of sniffing. We will give full advice and support with this as she settles into her new home.

So far, she’s had an unsteady few years in kennels so we really hope her next home is her final one. She is a gorgeous girl who will flourish in the right environment. Anyone interested in Jessie will need to come to the rescue a couple times to spend time with her. She is a firm favourite with staff and we love her cheeky side, we hope someone comes to see her soon as she really deserves a forever home.

Recently Jessie has had a short-term trial in a home, where was very well behaved and was very good passing dogs on walks. With correct handling she is very responsive to training and learning new commands. She travels very well in the car, settles at night and during work hours. She enjoyed napping in the garden and burrowing in blankets on the sofa. Jessie is very nervous and reactive to veterinary treatment, especially areas around her neck, ie, holding her collar and spot-on treatments. We can explain this in further detail with anyone interested.

COMPLETE THE FORM FOR JESSIE",09/15/2025
Tyson,https://ncar.org.uk/wp-content/uploads/2025/05/1f75d0d8-1521-410d-874c-e259c846d261-e1747747594315.jpeg,https://ncar.org.uk/animals/tyson/,Age: 5 years old,Sex: Male,Breed: Labrador x Staffie,,CH8 9BD,North Clwyd Animal Rescue,"WOOF WOOF, Tyson here.. I am only 5 years old and haven’t been taught much up to now. Do you have plenty of time to show me the big wide world over time??

Age: 5 years old

Sex: Male

Breed: Labrador x Staffie

Tyson's Notes:

friendly with strangers
can’t live with cats
can't live with dogs

Tyson is a sweet and energetic boy who found himself in our care as his previous owners were unable to devote the time he deserves. He has been with us for a couple of years now, and we really can’t understand why! We really hope he gets a chance of having a forever home soon.

Despite not receiving any training or being walked on a lead until he came into us, Tyson is eager to learn and has already shown improvement during his time with us. Tyson is a friendly boy with people and will meet his best friends with a big jump and a kiss! He will be a great adventure companion as he is always eager to go for walks and explore new places! However, it’s clear Tyson hasn’t seen much of the outside world as he can be overwhelmed sometimes. However, with a confident handler, he will thrive in a home. Tyson is looking for a home with adults only.

Tyson isn’t a fan of other dogs and will bark at some especially if they bark at him first, other times he is happy to ignore them and carry on sniffing – he loves quiet walks away from busy areas as he can relax fully then. He can be strong on lead at times so new owners must be able to handle his strength. Tyson is a big lover of toys so would love a garden of his own to play in but requires high fences.

Overall, Tyson is a wonderful dog with a lot of potential, and we are confident that with a patient, loving, and experienced owner, he will thrive and make a great addition to any family.

COMPLETE THE FORM FOR TYSON",09/15/2025
Bronwen,https://ncar.org.uk/wp-content/uploads/2025/05/07119cef-90e6-489a-a038-dd28f1a5708a-e1747749006250.jpeg,https://ncar.org.uk/animals/bronwen/,Age: 1 year 2 months,Sex: Female,Breed: Bulldog cross,,CH8 9BD,North Clwyd Animal Rescue,"Woof! I'm Bronwen and I'm a pretty, cheeky girl looking for a new home please.

Age: 1 year 2 months

Sex: Female

Breed: Bulldog cross

Bronwen's Notes:

can live with older children
can’t live with cats
can't live with dogs
can't live with children
can't live with young children

Bronwen is a pretty girl who originally came into our care as a stray, she was rehomed for a short period but came back to us due to her new owners not feeling confident with her behaviour and strength. She is now looking for a new home with people who are willing to put a lot of time and effort into her training and ongoing socialisation, she will suit owners who are used to strong bull-breeds.

Although it is a shame that her first home didn’t work out, we now know more about her and how she behaves in the home – she is fine to be left for a couple of hours at a time, she is mostly house trained, travels well in the car and loves to play with toys.
She is strong on lead and doesn’t have good recall – we are working on this with her but she will need continued training in these areas and any new owners must be physically capable of handling her strength until her lead-walking improves.
When she first arrived at the rescue she was friendly with dogs and loved to meet them and play, however during her stay with us this has declined due to kennel stress – we will continue to work on her socialisation with dogs during her stay with us but she will be looking for a home as the only pet and new owners should be willing to work on this with her gradually – we can advise on this. She is looking for a home without children living in the home or visiting, but can be rehomed with teenagers 16+.

Bronwen will thrive in a home that is in a quieter area for walks and will benefit from a decent sized secure garden so that she has space to play as she is a very cheeky, playful girl. We really hope a suitable home comes along soon for her, she is still only young and has lots to learn.

She came into our care with ear issues and is currently under the care of our vets for them and this is likely to be an ongoing issue sadly. She can be seen at our on-site vets for her ears due it being a pre-existing issue.

COMPLETE THE FORM FOR BRONWEN",09/15/2025
Harley,https://ncar.org.uk/wp-content/uploads/2025/05/d35aac9c-bd9c-4dd7-bb6a-8abfa697a2f0-e1747749314430.jpeg,https://ncar.org.uk/animals/harley/,Age: 5 years 2 months,Sex: Female,Breed: French Bulldog,,CH8 9BD,North Clwyd Animal Rescue,"Wooof! I'm Harley and I'm a sweet girl looking for a nice new home please.

Age: 5 years 2 months

Sex: Female

Breed: French Bulldog

Harley's Notes:

Harley is a sweet girl who came into our care due to her owners circumstances changing, she is understandably quite bewildered here at the rescue but is settling in gradually and we know she will thrive once she is back in a home environment. She is looking for a home with people who will be patient with her whilst she adjusts to her new home as she had been with her previous owner since she was a puppy.

She is looking for a home with teenagers 14+ as she hasn’t been around young children before and will suit a quieter home. She is quite an easy going girl who is generally quite chilled but can be excitable and playful too.

Harley has met a few dogs since her arrival and has been friendly with them, she has also shared a home with another Frenchie previously so does have potential to live with a compatible dog as long as introductions went well here at the rescue however she will also thrive in a home as the only pet.

Harley does require a specific diet (Hypoallergenic food) which we will explain to anyone interested in rehoming her. She doesn’t like the vets/vet treatment due to a traumatic experience previously which will need continued work and management which we can advise on. She really is a little sweetie and we hope a suitable home comes along soon for her so she can get back to enjoying her home comforts.

COMPLETE THE FORM FOR HARLEY",09/15/2025
Duke + Daisy,https://ncar.org.uk/wp-content/uploads/2025/03/IMG_5407-1.jpeg,https://ncar.org.uk/animals/duke-daisy/,Age: 11 years approx,Sex: Mixed,Breed: Jack Russell cross Chihuahua,,CH8 9BD,North Clwyd Animal Rescue,"Wooof! We are a cute sibling duo looking for a nice quiet home together :)

Age: 11 years approx

Sex: Mixed

Breed: Jack Russell cross Chihuahua

Duke + Daisy's Notes:

Duke + Daisy are a lovely pair of siblings who were rehomed from us in 2018, they have been well loved but are now sadly looking for a new home due to their owners health declining. They are almost 11 years old now so we really hope they find a new home soon.

They are looking for a new home where they can stay together as they have never been apart, Duke is also blind and does seem to rely on his sister for confidence at times. They are easy going dogs who are no trouble to care for, they enjoy their walks but are generally low energy and are happy with shorter walks as long as they have a garden they can potter in too. Duke manages well and is quite a confident lad despite his lack of eyesight, but new owners will need to take extra care with him on walks etc and it may take him a few days to adjust to his new home and garden.

They are looking for a home where it is just the pair of them as the only pets, they have been used to a visiting dog coming round and also visiting children. They travel well in the car (crate in the boot) and behave well with visitors coming into the home.

Duke and Daisy are currently in a foster home but still looking for a forever home. They are both lovely dogs who would make amazing companions.

COMPLETE THE FORM FOR DUKE + DAISY",09/15/2025
Solo,https://ncar.org.uk/wp-content/uploads/2025/01/IMG_3559-e1736692702474.jpeg,https://ncar.org.uk/animals/solo/,Age: 2 Years Old,Sex: Male,Breed: SBT x Boxer,,CH8 9BD,North Clwyd Animal Rescue,"Woof woof! My name is Solo and I don't alwayssss have such a grumpy face I promise! I am full of love and fun and I can't wait to find my family :)

Age: 2 Years Old

Sex: Male

Breed: SBT x Boxer

Solo's Notes:

can live with older children
can live with other dogs
friendly with dogs
friendly with strangers
can’t live with cats

Solo is a sweet boy who came into us due to no fault of his own, he is now looking for his new forever home where he will be spoilt and loved.

He is a playful lad who enjoys being out and about on his walks, he can be quite strong when he wants to be but will settle down once he gets going. He is looking for an active home with people who will take him on lots of enjoyable adventures! He can be rehomed with sensible children 14+ who are confident with dogs.

Solo has a very sweet temperament, he was understandably very timid and unsure when he first arrived but has been coming out of his shell more and more every day. He can be timid of men due to past bad experiences so can take a bit of time to trust, but food seems to be the way to his heart!

We have introduced Solo to other dogs and he seems to really enjoy their company, he likes to play but can be a little full on at times. We will continue testing him in this area but we do think that he has the potential to live with a compatible dog as long as the introductions went well here at the rescue.

We really hope that he finds his forever home soon!

COMPLETE THE FORM FOR SOLO",09/15/2025
Midnight,https://ncar.org.uk/wp-content/uploads/2025/03/IMG_0199-e1740834331912.jpeg,https://ncar.org.uk/animals/midnight/,Age: 18 months approx,Sex: Female,Breed: Lurcher x Staffie,,CH8 9BD,North Clwyd Animal Rescue,"Wooof! I'm Midnight and I'm a stunning girl looking for my forever home.

Age: 18 months approx

Sex: Female

Breed: Lurcher x Staffie

Midnight's Notes:

can live with older children
friendly with strangers
can’t live with cats

Midnight is a stunning girl who came into our care as a stray, no one has come forward to claim her so she is now looking for a new home.

Due to her being a stray we have no background information on her, so new owners must be willing to put in some training if needed. She is a lovely girl who was quite timid on arrival but it didn’t take long for her to come out of her shell.

She has been friendly with everyone that she has met so far, she is a typical young bouncy Lurcher who will require daily exercise and mental stimulation to keep her satisfied. She is a fit and active dog who will make a great adventure buddy.

We are still assessing Midnight as she is quite new in, but so far we feel that she can be rehomed with sensible children 10+ as long as they are dog-savvy as she can be boisterous. Midnight seems to require further socialisation with other dogs and this is something we are still testing with her, for now we feel that she will suit a home as the only pet but this may change during her stay with us. Due to her breed she is looking for a home without cats and small furries as she does have a prey drive.

Midnight is a stunning girl who is in great physical condition and does not have any health concerns, we hope a suitable home comes along soon for her.

COMPLETE THE FORM FOR MIDNIGHT",09/15/2025
Waffle,https://ncar.org.uk/wp-content/uploads/2025/02/IMG_4525-e1739100512195.jpeg,https://ncar.org.uk/animals/waffle/,Age: 3 years old approx,Sex: Male,Breed: Cane Corso,,CH8 9BD,North Clwyd Animal Rescue,"Wooof! I'm Waffle and I'm looking for a suitable forever home please.

Age: 3 years old approx

Sex: Male

Breed: Cane Corso

Waffle's Notes:

can't live with children
can't live with young children

Waffle is a big striking lad who was handed in as a stray in bad condition, we have no background history on him sadly but have started his assessments now that he is more settled at the rescue, we will be continuing to assess him further during his stay with us but we feel that he is ready to start the search for a suitable new home.

When Waffle first arrived he was petrified and defensive but we have been working with him and are now seeing his cheeky, playful side coming out more. He was quite underweight when he arrived but he has been gaining weight at a steady rate and we are hopeful that he will soon be back to prime condition. He can be hand-shy and flinches if you move too quickly around him but we are seeing improvements now that he is building bonds with staff members.

Waffle loves running around in our secure off lead area and is very playful! He is gradually gaining confidence in other areas on site too but the paddock is definitely his favourite.

We are looking for an experienced home for Waffle – with owners that have Cane Corso (or other similar breed) experience as he can be typical of his guardian breed and is quite strong-willed. He will require owners that will be firm but fair with him and they will need to input a steady routine and boundaries with him to help him settle and thrive. Due to us having no background history on him he will need owners that are willing to train and work with him so that he can reach his full potential. Waffle is a large, strong dog so any new owners will need to be physically able to manage his size and strength.

We are still assessing Waffle around other dogs but so far he seems nervous around them, we will continue to test him during his stay with us but at the moment he is looking for a home where he is the only pet in the home.

Anyone interested in Waffle must be willing to dedicate time to coming up to the rescue to build a bond and get to know him well before he went to his new home. We really hope a suitable home comes along soon for him 🙂

COMPLETE THE FORM FOR WAFFLE",09/15/2025
Alfie,https://ncar.org.uk/wp-content/uploads/2025/01/IMG_4301.jpeg,https://ncar.org.uk/animals/alfie/,"Age: 13 years, 10 months",Sex: Male,Breed: Terrier x,,CH8 9BD,North Clwyd Animal Rescue,"ON FOSTER

Wooof! I'm Alfie and I'm an older boy looking for a nice calm home please.

Age: 13 years, 10 months

Sex: Male

Breed: Terrier x

Alfie's Notes:

friendly with strangers
good on the lead
can’t live with cats
can't live with dogs

Alfie was a previous resident in 2013 and was adopted, but has been returned due to his owner sadly passing away. He’s now looking for a home where he can have loads of attention and rest in his old age.

Alfie is a 13 year old terrier cross. He is a sweet boy that enjoys a cuddle but he is also still quite active so will need a home that can provide him with daily walks. We were told that he can be quite reactive out and about to other dogs, at the rescue so far Alfie will pass dogs fine on walks. We will continue to test him with his socalisation while he is with us, but he is looking for a home as the only dog in the home and will need owners that can manage him around dogs if needed. He is used to being around older children, however we think he might prefer a quiet adult only home this time around.

We think he may be mostly deaf, but this could be selective hearing! He also isn’t fully housetrained as he does have the occassional accident in the home. However, he is a very sweet boy who we hope isn’t in kennels long due to him being an older boy.

COMPLETE THE FORM FOR ALFIE",09/15/2025
Phillip,https://ncar.org.uk/wp-content/uploads/2023/04/Phillip-1-2022.png,https://ncar.org.uk/animals/phillip-2/,Age: 6 years old,Sex: Male,Breed: Huntaway/Collie/Rottie mix,,CH8 9BD,North Clwyd Animal Rescue,"Wooof! I'm Phillip, I'm a lovely lad with a big personality. I need a home with people who will work with me, follow guidance from my friends here at the rescue and take me on lots of adventures!

Age: 6 years old

Sex: Male

Breed: Huntaway/Collie/Rottie mix

Phillip's Notes:

can’t live with cats
can't live with dogs
can't live with children
can't live with young children

Phillip is a handsome lad who came into our care as a stray in June 2021, so he has been with us for a long time now bless him. He has been rehomed once but was returned after a week due to his behaviour/showing aggression towards visitors in the home.

Since Phillip has been with us for so long we know him really well now and do feel that he will make an amazing companion in the right quiet home, he will suit a home with minimal visitors and owners who will be sensible and seperate Phillip if needed when people do come over. He tends to bond to people quite quickly and is generally a friendly lad but he can occasionally take a dislike to some people so any new owners must be confident on managing his strength and reading his behaviour. He is a loyal boy who is a great companion on walks and loves his trusted people. Due to his history he needs a home without children and cannot be around visiting children either.

Although the above paragraph may come across quite negative – we do have to be honest as we really would love to find him the right forever home, he is currently in his prime years and it is so sad that he has been waiting for so long. He will be the perfect adventure buddy as he loves long walks, playing in water and generally exploring. Here at the rescue he loves running around the paddock and splashing in the paddling pools. Once he gets to know you, he’ll be your loyal companion and will shower you with love and attention. He is looking for a home as the only pet, he is usually good with most dogs he meets but does take the occasional disliking to some. He does have good play skills and with further socialisation we know he will continue to improve.

Although he has been here for a few years now, please don’t let that discourage you, Phil really is an amazing boy who’s a favorite among our staff and volunteers.

If you’re interested in adopting Phil, we encourage you to fill in an application form and we can have a chat and invite you for an appointment – please note that he will require multiple visits to get to know him and receive guidance from our behaviour team. Phil has a lot of potential and we’re confident that he’ll make a great addition to the right home. Come meet him and let’s find him his forever family!

COMPLETE THE FORM FOR PHILLIP",09/15/2025
Holly,https://ncar.org.uk/wp-content/uploads/2024/03/holly-e1710507019754.jpg,https://ncar.org.uk/animals/holly-2/,Age: 2 Years Old,Sex: Female,Breed: Hound,,CH8 9BD,North Clwyd Animal Rescue,"Wooof! I'm Holly. I'm a pretty girl looking for a very active home full of fun and adventures!

Age: 2 Years Old

Sex: Female

Breed: Hound

Holly's Notes:

can live with sensible children
can live with other dogs
friendly with dogs
friendly with strangers
isn't toilet trained

Holly is such a beautiful girl who came into us as a stray, she is now looking for her new forever home which we can’t wait for her to find as she is wasted in kennels!

Holly is a lovely girl who has lots of love to give! She is affectionate and cuddly and is quite people orientated which is good. She can be timid at times but does tend to look to her handler for guidance. Due to her coming into us as a stray, we don’t have any background history on her and aren’t sure if she has ever lived in a home environment, we feel that she would thrive as being part of a family though.

She really enjoys being out and about on adventures or running around our secure off lead areas here at the rescue! She can be a bit strong when she wants to be but walks really well on a gen-con. Her recall is quite hit and miss, typical of her breed! But she is very food motivated which definitely helps with training.

Since she has been with us she has met a large variety of different dogs and has been fantastic with them, she walks well with them and has also showed great social skills when off lead with them too. She has the potential to live with a compatible dog as long as the introductions go well here at the rescue. Being a hound Holly would not be suitable to live with cats or other small furries. Holly can be rehomed with children 12+ who are sensible and dog-savvy.

Overall she is an amazing girl who is a firm favourite here at NCAR and we hope a suitable home comes along for her soon.

COMPLETE THE FORM FOR HOLLY",09/15/2025
